SUPERSESSION_ID,OBJECT_TABLE_NAME,OBJECT_CODE,SUPERSEDED_BY,SUPERSESSION_TYPE,SUPERSESSION_YEAR,REMARKS
38,Coordinate_Operation,1680,1896,Retirement,2001,Source tfm replaced by tfm with improved determination.
39,Coordinate_Operation,1683,1684,Retirement,,Replacement has better accuracy.
40,Coordinate_Operation,1683,1685,Retirement,,Replacement has better accuracy.
41,Coordinate_Operation,1683,1686,Retirement,,Replacement has better accuracy.
42,Coordinate_Operation,1683,1687,Retirement,,Replacement has better accuracy.
43,Coordinate_Operation,1807,1808,Retirement,1997,Replacement derived over a wider area.
44,Coordinate_Operation,1900,1901,Retirement,,Replacement has improved determination.
46,Coordinate_Operation,8047,8569,Retirement,1997,Improved derivation in northern Norway.
47,Coordinate_Operation,8047,1612,Retirement,2001,Replacement uses method better suited to implementation in real-time applications.
48,Coordinate_Operation,8569,1612,Retirement,2001,Replaced by tfm using method which is usually implemented in industry applications.
137,Coordinate_Operation,1052,1998,Retirement,2004,Replaced by code 1998 for oil industry purposes only.
140,Coordinate_Operation,1638,10098,Retirement,2003,Replacement has improved determination.
141,Coordinate_Operation,1639,10099,Retirement,2003,Replacement has improved determination.
142,Coordinate_Operation,1751,15739,Retirement,2004,Replacement has improved determination.
143,Coordinate_Operation,1066,15740,Retirement,2004,New parameter values derived at a different set of stations.
144,Coordinate_Operation,15781,10084,Retirement,1996,Improved geoid model.
145,Coordinate_Operation,15791,1330,Retirement,1989,Replacement has improved determination.
146,Coordinate_Operation,15817,15818,Retirement,2003,"Information source states ""Provided for historical purposes only. These parameter [values] should not be used""."
147,Coordinate_Operation,15852,15851,Retirement,,Replacement recommended by regulatory authority.
148,Coordinate_Operation,15853,15851,Retirement,,Replacement recommended by regulatory authority.
149,Coordinate_Operation,15854,15851,Retirement,,Replacement recommended by regulatory authority.
150,Coordinate_Operation,15856,15851,Retirement,,Replacement recommended by regulatory authority.
151,Coordinate_Operation,1309,1776,Retirement,2001,Improved determination with better accuracy.
152,Coordinate_Operation,1673,1777,Retirement,2001,Source tfm code 1309 replaced by tfm code 1776 with better accuracy.
153,Coordinate_Operation,1753,1766,Retirement,1997,Replacement has improved determination.
154,Coordinate_Operation,15895,15932,Retirement,2007,Tfm 15895 withdrawn and replaced by informaton source due to grid file format being non-compliant with NTv2 specification.
155,Coordinate_Operation,15907,15933,Retirement,2007,Superseded record had grid file format which was non-compliant with NTv2 specification.
156,Coordinate_Operation,8581,1439,Retirement,1997,Replacement uses improved determination directly between source and target CRSs.
157,Coordinate_Operation,8657,15846,Retirement,,Improved direct determination using GPS replaces indirect tfm using Transit and WGS 72BE.
158,Coordinate_Operation,1672,15934,Retirement,2004,Source tfm 1751 replaced.
159,Coordinate_Operation,1829,1449,Retirement,2008,Replacement is national standard.
160,Coordinate_Operation,1830,1448,Retirement,2008,Replacement is national standard.
161,Coordinate_Operation,1831,1242,Retirement,2008,Replacement derived at stations across whole country.
162,Coordinate_Operation,15993,15994,Retirement,2008,Withdrawn by information source. Replacement is of significantly better accuracy.
163,Coordinate_Operation,1656,1988,Retirement,2001,EPSG copy of tfm which has been replaced by its info source by better direct tfm.
164,Coordinate_Operation,1658,1987,Retirement,2001,EPSG copy of tfm which has been replaced by its info source for a direct determination.
165,Coordinate_Operation,1681,15956,Retirement,2002,Transformation from which this is taken has been replaced by improved determination.
166,Coordinate_Operation,1928,15901,Retirement,2006,Withdrawn by information source and replaced by improved information.
167,Coordinate_Operation,15783,15901,Retirement,2006,Withdrawn by information source and replaced by improved information from local authority.
168,Coordinate_Operation,1917,15902,Retirement,2006,Withdrawn by information source and replaced by improved information.
169,Coordinate_Operation,1927,15902,Retirement,2006,Withdrawn by information source and replaced by improved information.
170,Coordinate_Operation,1962,15903,Retirement,2006,Withdrawn by information source and replaced by improved information from local authority.
171,Coordinate_Operation,1963,15903,Retirement,2006,Withdrawn by information source and replaced by improved information.
1024,Coordinate_Operation,3972,4834,Retirement,2010,Retired in 2005 when SIRGAS 2000 adopted by Brazil.
1025,Coordinate_Operation,10092,5051,Retirement,2010,Improved determination by Petrobras.
1026,Coordinate_Operation,1992,5037,Retirement,2010,Improved determination.
1027,Coordinate_Operation,1281,5043,Retirement,2010,Withdrawn and replaced by improved determination.
1028,Coordinate_Operation,1267,5044,Retirement,2010,Withdrawn and replaced by improved determination.
1029,Coordinate_Operation,1997,5038,Retirement,2010,Improved determination.
1030,Coordinate_Operation,1550,5061,Retirement,2010,Improved determination.
1031,Coordinate_Operation,1551,5061,Retirement,2010,Improved determination.
1032,Coordinate_Operation,1552,5061,Retirement,2010,Improved determination.
1033,Coordinate_Operation,15710,5053,Retirement,2010,Improved resolution.
1034,Coordinate_Operation,15711,5051,Retirement,2010,Improved resolution.
1035,Coordinate_Operation,15712,5055,Retirement,2010,Improved resolution.
1036,Coordinate_Operation,10091,5055,Retirement,2010,Improved determination for area by Petrobras.
1037,Coordinate_Operation,10089,5051,Retirement,2010,Improved determination for area by Petrobras.
1038,Coordinate_Operation,10090,5053,Retirement,2010,Improved determination for area by Petrobras.
1039,Coordinate_Operation,15872,5078,Retirement,2010,Signiicantly improved determination.
1040,Coordinate_Operation,1642,5485,Retirement,2011,Replacement derived through more observations.
1041,Coordinate_Operation,1643,5486,Retirement,2011,Replacement derived through more observations.
1042,Coordinate Reference System,6094,6351,Retirement,2013,Geodetic CRS superseded before OGP Guidance Note 373-20 published.
1043,Coordinate_Operation,15754,5055,Retirement,2010,Improved determinations for subareas.
1044,Coordinate_Operation,15754,5053,Retirement,2010,Improved determinations for subareas.
1045,Coordinate_Operation,15754,5051,Retirement,2010,Improved determinations for subareas.
1046,Coordinate_Operation,10093,5055,Retirement,2010,Improved determinations for subareas by Petrobras.
1047,Coordinate_Operation,10093,5053,Retirement,2010,Improved determinations for subareas by Petrobras.
1048,Coordinate_Operation,10093,5051,Retirement,2010,Improved determinations for subareas by Petrobras.
1049,Coordinate_Operation,1079,5484,Retirement,2011,Taken from replacement which was derived through more observations.
1050,Coordinate_Operation,1078,5483,Retirement,2011,Taken from replacement which was derived through more observations.
1051,Coordinate Reference System,3764,3793,Retirement,2011,Withdrawn and replaced by NZGD200 / CITM2000 before being utilised.
1052,Coordinate_Operation,17959,17965,Retirement,2011,Withdrawn and replaced by Chatham Islands TM2000 before being utilised.
1053,Coordinate_Operation,10082,5656,Retirement,2012,Replacement has improved modelling.
1054,Coordinate Reference System,6095,6352,Retirement,2013,Geodetic CRS superseded before OGP Guidance Note 373-20 published.
1055,Coordinate Reference System,6096,6353,Retirement,2013,Geodetic CRS superseded before OGP Guidance Note 373-20 published.
1056,Coordinate Reference System,6097,6354,Retirement,2013,Geodetic CRS superseded before OGP Guidance Note 373-20 published.
1057,Coordinate_Operation,1108,6905,Retirement,2014,Later determination.
1058,Coordinate_Operation,10081,5656,Retirement,2012,Replacement has improved modelling.
1059,Coordinate_Operation,10078,5656,Retirement,2012,Replacement has improved modelling.
1060,Coordinate_Operation,10039,5656,Retirement,2012,Replacement has improved modelling.
1061,Coordinate_Operation,10040,5656,Retirement,2012,Replacement has improved modelling.
1062,Coordinate_Operation,10041,5656,Retirement,2012,Replacement has improved modelling.
1063,Coordinate_Operation,10042,5656,Retirement,2012,Replacement has improved modelling.
1064,Coordinate_Operation,10043,5656,Retirement,2012,Replacement has improved modelling.
1065,Coordinate_Operation,6392,6279,Retirement,2013,Time reference changed by information source to 1994 to coincide with target CRS's datum epoch. This to minimise confusion with dates.
1066,Coordinate_Operation,1121,6906,Retirement,2014,Later determination.
1067,Coordinate_Operation,10083,5657,Retirement,2012,Replacement has improved modelling.
1068,Coordinate_Operation,6315,6278,Retirement,2013,Time reference changed by information source to 1994 to coincide with target CRS's datum epoch. This to minimise confusion with dates.
1069,Coordinate_Operation,6313,6280,Retirement,2013,Time reference changed by information source to 1994 to coincide with target CRS's datum epoch. This to minimise confusion with dates.
1070,Coordinate_Operation,1256,6908,Retirement,2014,Later determination.
1071,Coordinate_Operation,1951,6909,Retirement,2014,Later determination.
1072,Coordinate_Operation,5662,6939,Retirement,2015,Improved determination.
1073,Coordinate_Operation,15938,6998,Retirement,2015,Usage has adopted later transformation.
1075,Coordinate_Operation,15800,6907,Retirement,2014,"Later determination, replacement has improved accuracy."
1076,Coordinate_Operation,15897,6895,Retirement,2014,"Later determination, replacement has improved accuracy."
1077,Coordinate_Operation,1868,6976,Retirement,2014,Improved determination.
1078,Coordinate_Operation,1868,6975,Retirement,2014,Improved determination.
1079,Coordinate_Operation,1868,6974,Retirement,2014,Improved determination.
1080,Coordinate_Operation,1203,6971,Retirement,2014,Improved determination.
1081,Coordinate_Operation,1204,6973,Retirement,2014,Improved determination.
1082,Coordinate_Operation,10063,5656,Retirement,2012,Replacement has improved modelling.
1083,Coordinate_Operation,10037,5656,Retirement,2012,Replacement has improved modelling.
1084,Coordinate_Operation,10064,5656,Retirement,2012,Replacement has improved modelling.
1085,Coordinate_Operation,10066,5656,Retirement,2012,Replacement has improved modelling.
1086,Coordinate_Operation,10067,5656,Retirement,2012,Replacement has improved modelling.
1087,Coordinate_Operation,10068,5656,Retirement,2012,Replacement has improved modelling.
1088,Coordinate_Operation,10069,5656,Retirement,2012,Replacement has improved modelling.
1092,Coordinate_Operation,10058,5656,Retirement,2012,Replacement has improved modelling.
1093,Coordinate_Operation,10059,5656,Retirement,2012,Replacement has improved modelling.
1094,Coordinate_Operation,10060,5656,Retirement,2012,Replacement has improved modelling.
1095,Coordinate_Operation,10061,5656,Retirement,2012,Replacement has improved modelling.
1096,Coordinate_Operation,10062,5656,Retirement,2012,Replacement has improved modelling.
1099,Coordinate_Operation,10070,5656,Retirement,2012,Replacement has improved modelling.
1103,Coordinate_Operation,10071,5656,Retirement,2012,Replacement has improved modelling.
1106,Coordinate_Operation,10072,5656,Retirement,2012,Replacement has improved modelling.
1116,Coordinate_Operation,10073,5656,Retirement,2012,Replacement has improved modelling.
1117,Coordinate_Operation,10038,5656,Retirement,2012,Replacement has improved modelling.
1118,Coordinate_Operation,10074,5656,Retirement,2012,Replacement has improved modelling.
1119,Coordinate_Operation,10035,5656,Retirement,2012,Replacement has improved modelling.
1120,Coordinate_Operation,10044,5656,Retirement,2012,Replacement has improved modelling.
1121,Coordinate_Operation,10045,5656,Retirement,2012,Replacement has improved modelling.
1122,Coordinate_Operation,10046,5656,Retirement,2012,Replacement has improved modelling.
1123,Coordinate_Operation,10047,5656,Retirement,2012,Replacement has improved modelling.
1124,Coordinate_Operation,10048,5656,Retirement,2012,Replacement has improved modelling.
1125,Coordinate_Operation,10049,5656,Retirement,2012,Replacement has improved modelling.
1126,Coordinate_Operation,10050,5656,Retirement,2012,Replacement has improved modelling.
1127,Coordinate_Operation,10051,5656,Retirement,2012,Replacement has improved modelling.
1128,Coordinate_Operation,10052,5656,Retirement,2012,Replacement has improved modelling.
1129,Coordinate_Operation,10053,5656,Retirement,2012,Replacement has improved modelling.
1130,Coordinate_Operation,10036,5656,Retirement,2012,Replacement has improved modelling.
1131,Coordinate_Operation,10054,5656,Retirement,2012,Replacement has improved modelling.
1132,Coordinate_Operation,10055,5656,Retirement,2012,Replacement has improved modelling.
1133,Coordinate_Operation,10056,5656,Retirement,2012,Replacement has improved modelling.
1134,Coordinate_Operation,10057,5656,Retirement,2012,Replacement has improved modelling.
1135,Coordinate_Operation,10075,5656,Retirement,2012,Replacement has improved modelling.
1138,Coordinate_Operation,10076,5656,Retirement,2012,Replacement has improved modelling.
1141,Coordinate_Operation,10077,5656,Retirement,2012,Replacement has improved modelling.
1142,Coordinate_Operation,10079,5656,Retirement,2012,Replacement has improved modelling.
1143,Coordinate_Operation,10080,5656,Retirement,2012,Replacement has improved modelling.
